Date,Avg Price (All),S&P Close,USD FX Index,DOW DJI Close,Emerging Market ETF
10/18/2016,54.71642857,2139.6,97.87,18161.94,33.37
10/17/2016,54.65357143,2126.5,97.9,18086.4,32.79
10/14/2016,54.68821429,2132.98,#N/A,18138.38,32.85
10/13/2016,54.68357143,2132.55,98.02,18098.94,32.76
10/12/2016,54.6925,2139.18,97.52,18144.2,32.96
10/11/2016,55.17642857,2136.73,97.97,18128.66,33
10/10/2016,55.80607143,2163.66,97.7,18329.04,33.62
10/7/2016,55.0475,2153.74,#N/A,18240.49,33.39
10/6/2016,55.04,2160.77,96.52,18268.5,33.51
10/5/2016,54.70464286,2159.73,96.66,18281.03,33.51
10/4/2016,54.18357143,2150.49,96.13,18168.45,33.01
10/3/2016,53.5525,2161.2,96.12,18253.85,33.34
9/30/2016,53.37964286,2168.27,#N/A,18308.15,33.12
9/29/2016,53.46714286,2151.13,95.46,18143.45,32.88
9/28/2016,51.25607143,2171.37,95.54,18339.24,33.44
9/27/2016,50.96392857,2159.93,95.43,18228.3,33.11
9/26/2016,52.13678571,2146.1,95.44,18094.83,32.77
9/23/2016,52.29178571,2164.69,#N/A,18261.45,33.17
9/22/2016,52.56142857,2177.18,95.48,18392.46,33.62
9/21/2016,51.92785714,2163.12,95.45,18293.7,33.47
9/20/2016,51.34785714,2139.76,95.66,18129.96,32.67
9/19/2016,52.00035714,2139.12,96.02,18120.17,32.66
9/16/2016,51.46821429,2139.16,#N/A,18123.8,32.39
9/15/2016,51.89,2147.26,96.11,18212.48,32.61
9/14/2016,51.59392857,2125.77,95.29,18034.77,32.1
9/13/2016,52.07214286,2127.02,95.33,18066.75,31.99
9/12/2016,53.09785714,2159.04,95.63,18325.07,32.81
9/9/2016,53.35285714,2127.81,#N/A,18085.45,32.54
9/8/2016,54.09214286,2181.3,95.34,18479.91,33.6
9/7/2016,52.40785714,2186.16,95.03,18526.14,33.67
9/6/2016,52.05714286,2186.48,94.96,18538.12,33.71
9/5/2016,52.46785714,#N/A,94.82,#N/A,#N/A
9/2/2016,51.90321429,2179.98,#N/A,18491.96,33.14
